1,alfa,4,DATA,10/01/2021
2,beta,4,DATA,11/01/2021
3,gama,2,DATA,12/01/2021
4,delta,4,DATA,13/01/2021
5,epsilon,1,DATA,14/01/2021
6,epson,1,DATA,15/01/2021
7,etha,4,DATA,16/01/2021
8,iota,5,DATA,17/01/2021
9,alfa,5,DATA,18/01/2021
10a,betaa,2a,DATAa,19/a01/2021
11,gama,2,DATA,20/01/2021
12,delta,3,DATA,21/01/2021
13,epsilon,3,DATA,22/01/2021
14,epson,3,DATA,23/01/2021
15,etha,1,DATA,24/01/2021
16,iota,1,DATA,25/01/2021
17,alfa,3,DATA,26/01/2021
18,beta,2,DATA,27/01/2021
19,gama,1,DATA,28/01/2021
20a,deltaa,2a,DATAa,29/a01/2021
21,epsilon,1,DATA,30/01/2021
22,epson,2,DATA,31/01/2021
23,etha,5,DATA,01/02/2021
24,iota,3,DATA,02/02/2021
25,alfa,4,DATA,03/02/2021
26,beta,3,DATA,04/02/2021
27,gama,2,DATA,05/02/2021
28,delta,1,DATA,06/02/2021
29,epsilon,4,DATA,07/02/2021
30,epson,2,DATA,08/02/2021
31,etha,4,DATA,09/02/2021
32,iota,2,DATA,10/02/2021
33,alfa,1,DATA,11/02/2021
34,beta,1,DATA,12/02/2021
35,gama,2,DATA,13/02/2021
36,delta,4,DATA,14/02/2021
37,epsilon,2,DATA,15/02/2021
38,epson,3,DATA,16/02/2021
39,etha,3,DATA,17/02/2021
40,iota,3,DATA,18/02/2021
41,alfa,1,DATA,19/02/2021
42,beta,4,DATA,20/02/2021
43,gama,1,DATA,21/02/2021
44,delta,5,DATA,22/02/2021
45,epsilon,1,DATA,23/02/2021
46,epson,5,DATA,24/02/2021
47,etha,4,DATA,25/02/2021
48,iota,1,DATA,26/02/2021
49,alfa,1,DATA,27/02/2021
50,beta,5,DATA,28/02/2021
51,gama,1,DATA,01/03/2021
52,delta,1,DATA,02/03/2021
53,epsilon,2,DATA,03/03/2021
54,epson,1,DATA,04/03/2021
55,etha,1,DATA,05/03/2021
56,iota,2,DATA,06/03/2021
57,alfa,5,DATA,07/03/2021
58,beta,4,DATA,08/03/2021
59,gama,2,DATA,09/03/2021
60,delta,3,DATA,10/03/2021
61,epsilon,5,DATA,11/03/2021
62,epson,1,DATA,12/03/2021
63,etha,2,DATA,13/03/2021
64,iota,4,DATA,14/03/2021
65,alfa,3,DATA,15/03/2021
66,beta,2,DATA,16/03/2021
67,gama,2,DATA,17/03/2021
68,delta,5,DATA,18/03/2021
69,epsilon,2,DATA,19/03/2021
70,epson,3,DATA,20/03/2021
71,etha,5,DATA,21/03/2021
72,iota,3,DATA,22/03/2021
73,alfa,4,DATA,23/03/2021
74,beta,2,DATA,24/03/2021
75,gama,4,DATA,25/03/2021
76,delta,3,DATA,26/03/2021
77,epsilon,3,DATA,27/03/2021
78,epson,4,DATA,28/03/2021
79,etha,4,DATA,29/03/2021
80,iota,3,DATA,30/03/2021
81,alfa,5,DATA,31/03/2021
82,beta,2,DATA,01/04/2021
83,gama,3,DATA,02/04/2021
84,delta,3,DATA,03/04/2021
85,epsilon,4,DATA,04/04/2021
86,epson,3,DATA,05/04/2021
87,etha,3,DATA,06/04/2021
88,iota,5,DATA,07/04/2021
89,alfa,3,DATA,08/04/2021
90,beta,1,DATA,09/04/2021
91,gama,1,DATA,10/04/2021
92,delta,4,DATA,11/04/2021
93,epsilon,2,DATA,12/04/2021
94,epson,2,DATA,13/04/2021
95,etha,2,DATA,14/04/2021
96,iota,2,DATA,15/04/2021
97,alfa,4,DATA,16/04/2021
98,beta,2,DATA,17/04/2021
99,gama,3,DATA,18/04/2021
100,delta,4,DATA,19/04/2021
101,epsilon,2,DATA,20/04/2021
102,epson,3,DATA,21/04/2021
103,etha,1,DATA,22/04/2021
104,iota,1,DATA,23/04/2021
105,alfa,3,DATA,24/04/2021
106,beta,3,DATA,25/04/2021
107,gama,5,DATA,26/04/2021
108,delta,5,DATA,27/04/2021
109,epsilon,5,DATA,28/04/2021
110,epson,3,DATA,29/04/2021
111,etha,3,DATA,30/04/2021
112,iota,1,DATA,01/05/2021
113,alfa,2,DATA,02/05/2021
114,beta,1,DATA,03/05/2021
115,gama,4,DATA,04/05/2021
116,delta,3,DATA,05/05/2021
117,epsilon,3,DATA,06/05/2021
118,epson,5,DATA,07/05/2021
119,etha,4,DATA,08/05/2021
120,iota,2,DATA,09/05/2021
121,alfa,1,DATA,10/05/2021
122,beta,3,DATA,11/05/2021
123,gama,3,DATA,12/05/2021
124,delta,2,DATA,13/05/2021
125,epsilon,3,DATA,14/05/2021
126,epson,3,DATA,15/05/2021
127,etha,4,DATA,16/05/2021
128,iota,1,DATA,17/05/2021
129,alfa,1,DATA,18/05/2021
130,beta,1,DATA,19/05/2021
131,gama,3,DATA,20/05/2021
132,delta,5,DATA,21/05/2021
133,epsilon,1,DATA,22/05/2021
134,epson,4,DATA,23/05/2021
135,etha,4,DATA,24/05/2021
136,iota,4,DATA,25/05/2021
137,alfa,1,DATA,26/05/2021
138,beta,3,DATA,27/05/2021
139,gama,2,DATA,28/05/2021
140,delta,4,DATA,29/05/2021
141,epsilon,1,DATA,30/05/2021
142,epson,3,DATA,31/05/2021
